ACFT_MAKE_NAME,LOC_STATE_NAME,ACFT_MODEL_NAME,RMK_TEXT,FLT_PHASE,EVENT_TYPE_DESC,FATAL_FLAG,EVENT_DATETIME,ACFT_DMG_DESC_Minor,ACFT_DMG_DESC_Substantial,ACFT_DMG_DESC_Unknown
BEECH,North Carolina,36,"AIRCRAFT CRASHED INTO TREES, THE 1 PERSON ON BOARD WAS FATALLY INJURED, NEAR MARSHVILLE, NC",UNKNOWN (UNK),Accident,Yes,2016-02-19 00:45:00+00:00,False,False,True
VANS,Florida,RV7,"AIRCRAFT ON LANDING WENT OFF THE END OF THE RUNWAY, STRUCK A VEHICLE AND FLIPPED OVER, TAVERNIER, FL",LANDING (LDG),Incident,No,2016-02-18 23:55:00+00:00,False,False,True
CESSNA,New Jersey,172,"AIRCRAFT ON FINAL SUSTAINED A BIRD STRIKE, LANDED WITHOUT INCIDIENT WITH MINOR DAMAGE, TRENTON, NJ",APPROACH (APR),Incident,No,2016-02-18 22:14:00+00:00,True,False,False
LANCAIR,North Carolina,235,"AIRCRAFT ON LANDING, GEAR COLLAPSED, ASHEVILLE, NC",LANDING (LDG),Incident,No,2016-02-18 17:10:00+00:00,False,False,True
CESSNA,Alaska,172,"AIRCRAFT ON LANDING, NOSE GEAR COLLAPSED, TALKEETNA, ALASKA",LANDING (LDG),Incident,No,2016-02-18 00:26:00+00:00,True,False,False
BELL,Hawaii,206,"N80918 BELL 206B ROTORCRAFT CRASHED INTO THE WATER NEAR THE PEARL HARBOR ARIZONA MEMORIAL, THE  5 PERSONS ON BOARD WERE RESCURED, 3 SUSTAINED SERIOUS INJURIES, 2 SUSTAINED MINOR INJURIES, FORD ISLAND, HONOLULU, HAWAII",UNKNOWN (UNK),Accident,No,2016-02-18 20:23:00+00:00,False,True,False
PIPER,Florida,PA24,"AIRCRAFT GEAR COLLAPSED ON LANDING, BROOKSVILLE, FL",LANDING (LDG),Incident,No,2016-02-17 21:15:00+00:00,False,False,True
CESSNA,Florida,210,"AIRCRAFT ON LANDING GEAR COLLAPSED, WINTER HAVEN, FL",LANDING (LDG),Incident,No,2016-02-17 18:10:00+00:00,False,False,True
BOEING,Florida,747,"N859GT ATLAS AIR FLIGHT GTI33 BOEING 747 AIRCRAFT ON DEPARTURE TIRES BLEW OUT, AIRCRAFT RETURNED AND LANDED WITHOUT INCIDENT, INSPECTION REVEALED DAMAGE TO FUSELAGE, MIAMI, FL",TAKEOFF (TOF),Incident,No,2016-02-17 13:50:00+00:00,True,False,False
CESSNA,Virginia,172,"AIRCRAFT ON LANDING WENT OFF THE RUNWAY INTO A DITCH, NEWPORT NEWS, VA",LANDING (LDG),Incident,No,2016-02-17 15:40:00+00:00,False,False,True
CESSNA,New York,310,"AIRCRAFT GEAR COLLAPSED ON LANDING, ELMIRA, NY",LANDING (LDG),Incident,No,2016-02-14 20:21:00+00:00,False,False,True
CESSNA,Louisiana,210,"AIRCRAFT ON LANDING NOSE GEAR COLLAPSED, LAKEFRONT AIRPORT, NEW ORLEANS, LA",LANDING (LDG),Incident,No,2016-02-14 02:00:00+00:00,True,False,False
BEECH,California,T34,"AIRCRAFT ON TAKEOFF STRUCK RUNWAY LIGHT AT THE DEPARTURE END OF THE RUNWAY, RIVERSIDE, CA",TAKEOFF (TOF),Incident,No,2016-02-15 20:10:00+00:00,False,False,True
CESSNA,Florida,152,"AIRCRAFT FORCE LANDED ON A HIGHWAY, NEAR PEMBROOK PINES, FL",LANDING (LDG),Incident,No,2016-02-17 02:34:00+00:00,False,False,True
CHRISTEN,Louisiana,EAGLE II,"AIRCRAFT ON TAKEOFF WENT OFF THE GRASS STRIP AND FLIPPED OVER, NEAR BELL CITY, LA",TAKEOFF (TOF),Accident,No,2016-02-14 17:00:00+00:00,False,True,False
PIPER,Missouri,PA34,"AIRCRAFT ON LANDING GEAR COLLAPSED, SPRINGFIELD-BRANSON AIRPORT, SPRINGFIELD, MO",LANDING (LDG),Incident,No,2016-02-13 22:40:00+00:00,False,False,True
PIPER,Florida,PA28,"AIRCRAFT ON DEPARTURE STRUCK A BIRD, RETURNED AND LANDED WITHOUT INCIDENT, VERO BEACH, FL",TAKEOFF (TOF),Incident,No,2016-02-16 18:40:00+00:00,True,False,False
CESSNA,Texas,150,"AIRCRAFT ON LANDING WENT OFF THE RUNWAY, THROUGH A FENCE AND INTO A FIELD, AUSTIN EXECUTIVE AIRPORT, AUSTIN, TX",LANDING (LDG),Incident,No,2016-02-14 17:30:00+00:00,False,False,True
HUGHES,West Virginia,369,"N1107T HUGHES 369D ROTORCRAFT MADE A PRECAUTIONARY LANDING ON A HIGHWAY, NEAR CHARLESTON, WV",LANDING (LDG),Incident,No,2016-02-15 17:53:00+00:00,False,False,True
CESSNA,Texas,210,"AIRCRAFT FORCE LANDED IN A FIELD 2 MILES FROM BENCHLEY, TX",UNKNOWN (UNK),Accident,No,2016-02-16 17:29:00+00:00,False,True,False
BOEING,Michigan,737,"AMERICAN AIRLINES FLIGHT AAL1241 BOEING 737 AIRCRAFT AND SOUTHWEST AIRLINES FLIGHT SWA9 BOEING 737 AIRCRAFT ON TAXI TO DEICING PAD WHEN RIGHT WING OF AAL1241 STRUCK THE TAIL OF SWA9, NO INJURIES, DAMAGE TO BE DETERMINED, REGISTRATIONS NOT REPORTED,  DETROIT, MI",TAXI (TXI),Incident,No,2016-02-17 11:05:00+00:00,False,False,True
GLOBE,Colorado,GC1B,"AIRCRAFT LANDED AND THE GEAR COLLAPSED, CENTENNIAL AIRPORT, DENVER, CO",LANDING (LDG),Incident,No,2016-02-12 15:22:00+00:00,False,False,True
PIPER,Tennessee,PA20,"AIRCRAFT FORCE LANDED ON A HIGHWAY, NEAR DAYTON, TN",LANDING (LDG),Incident,No,2016-02-14 00:15:00+00:00,False,False,True
GREAT LAKES,California,2T1A,"AIRCRAFT ON LANDING TIPPED ONTO ITS NOSE, PALO ALTO, CA",LANDING (LDG),Incident,No,2016-02-13 23:19:00+00:00,True,False,False
CESSNA,New Hampshire,560,"N70TH DELTA PRIVATE JET FLIGHT DPJ70 CESSNA C56XL AIRCRAFT ON TAXI WING STRUCK A POST, BERLIN, NH",TAXI (TXI),Incident,No,2016-02-12 21:20:00+00:00,False,False,True
CONSOLIDATED VULTEE,California,BT15,"AIRCRAFT ON TAXI STRUCK A PARKED AIRCRAFT, CHINO, CA",TAXI (TXI),Incident,No,2016-02-13 23:01:00+00:00,False,False,True
CESSNA,Colorado,210,"AIRCRAFT LANDED GEAR UP, DURANGO, CO",LANDING (LDG),Incident,No,2016-02-13 17:45:00+00:00,True,False,False
BEECH,Oklahoma,36,"AIRCRAFT LANDED GEAR UP, TULSA, OK",LANDING (LDG),Incident,No,2016-02-13 02:10:00+00:00,True,False,False
CESSNA,Florida,172,"AIRCRAFT ON LANDING STRUCK A RUNWAY LIGHT, DAYTONA BEACH, FL",TAXI (TXI),Incident,No,2016-02-13 14:45:00+00:00,False,False,True
FAIRCHILD,Texas,PT19,"AIRCRAFT ON TAXI STRUCK A PARKED AIRCRAFT, WEST HOUSTON AIRPORT, HOUSTON, TX",TAXI (TXI),Incident,No,2016-02-13 20:00:00+00:00,True,False,False
SOCATA,Arkansas,TB9,"AIRCRAFT ON TAXI WING STRUCK THE PAVEMENT AND CAUGHT FIRE, FORT SMITH, AR",TAXI (TXI),Incident,No,2016-02-13 01:40:00+00:00,False,False,True
SAAB,Florida,340,"N341AG SILVER AIRWAYS FLIGHT SIL70 SAAB 340B AIRCRAFT WHILE AT THE GATE, NUMBER 1 ENGINE CAUGHT FIRE AND WAS EXTINGUISHED, PERSONS ON BOARD DEPLANED VIA STAIRS, NO INJURIES, DAMAGE TO AIRCRAFT MINOR, ORLANDO, FL",STANDING (STD),Incident,No,2016-02-15 01:08:00+00:00,True,False,False
EMBRAER,Massachusetts,ERJ190,"N273JB JETBLUE FLIGHT JBU891 EMBRAER ERJ190 AIRCRAFT  WHILE PARKED AT GATE, WAS STRUCK BY A VEHICLE, NO INJURIES, PERSONS ON BOARD DEPLANDED, DAMAGE TO AIRCRAFT UNKNOWN, EAST BOSTON, MA",STANDING (STD),Incident,No,2016-02-12 10:43:00+00:00,False,False,True
MAULE,Alaska,M4,"AIRCRAFT ON TAKEOFF STRUCK A TAXIWAY SIGN, ANCHORAGE, ALASKA  UPDATE: MINOR DAMAGE INCIDENT",TAKEOFF (TOF),Incident,No,2016-02-13 21:10:00+00:00,True,False,False
ENSTROM,Michigan,,"N180TH ENTROM TH180 HELICOPTER,  FORCE LANDED ON A STREET, MENOMINEE, MI",LANDING (LDG),Incident,No,2016-02-12 17:23:00+00:00,False,False,True
BEECH,Florida,55,"AIRCRAFT ON TAXI, GEAR COLLAPSED, WEST PALM BEACH, FL",TAXI (TXI),Incident,No,2016-02-15 13:00:00+00:00,False,False,True
MOONEY,California,M20M,"AIRCRAFT ON LANDING GEAR COLLAPSED,  NAPA, CA",LANDING (LDG),Incident,No,2016-02-15 22:38:00+00:00,True,False,False
